ID,Nombre,Apellido,Email,Localidad,Provincia
1,Juan,Perez,juanperez@teco.com.ar,Rosario,Santa Fe
2,María,Gómez,mariagomez@teco.com.ar,Córdoba,Córdoba
3,Carlos,Ruiz,carlosruiz@teco.com.ar,Mendoza,Mendoza
4,Lucía,Méndez,luciamendez@teco.com.ar,Santa Fe,Santa Fe
5,Ricardo,Silva,ricardosilva@teco.com.ar,San Miguel,Buenos Aires
6,Laura,Prieto,lauraprieto@teco.com.ar,Tigre,Buenos Aires
7,Ana,Lopez,analopez@teco.com.ar,Posadas,Misiones
8,Pedro,Moreno,pedromoreno@teco.com.ar,Neuquén,Neuquén
9,Silvina,Torres,silvinatorres@teco.com.ar,Rafaela,Santa Fe
10,Federico,Sosa,federicososa@teco.com.ar,La Plata,Buenos Aires
11,Gabriela,Guzmán,gabrielaguzman@teco.com.ar,Concordia,Entre Ríos
12,Daniel,Bustos,danielbustos@teco.com.ar,Merlo,Buenos Aires
13,Patricia,Arias,patriciaarias@teco.com.ar,Goya,Corrientes
14,Sebastián,Molina,sebastianmolina@teco.com.ar,Godoy Cruz,Mendoza
15,Valeria,Díaz,valeriadiaz@teco.com.ar,San Salvador,Jujuy
16,Andrés,Núñez,andresnunez@teco.com.ar,Rawson,Chubut
17,Florencia,Benítez,florenciabenitez@teco.com.ar,Ushuaia,Tierra del Fuego
18,Sergio,Campos,sergiocampos@teco.com.ar,Salta,Salta
19,Carolina,Sánchez,carolinasanchez@teco.com.ar,Formosa,Formosa
20,Roberto,Correa,robertocorrea@teco.com.ar,Corrientes,Corrientes
21,Juan,Sanchez,juansanchez@teco.com.ar,Claromecó,Buenos Aires
